nohup: ignoring input
================================================================================
🚀 算力怪兽觉醒：256核并行 | 全局纯缩放 | 1D 宏观常数 k1 寻优
================================================================================
[*] 正在加载靶向黎曼零点...
[*] 演化步数已锁定为: 100亿步
[*] 寻优法则: 纯缩放 (Pure Scaling) + 全局误差计算 (不屏蔽前50点)
[*] ⚠️ 正在为 256核 阵列分配任务，起飞！
[Worker] 尝试 k=12.294320 | 纯缩放 Scale=484.4896 | 全局 MSE=4304.6609 | 耗时=2249.3s
[Worker] 尝试 k=9.143362 | 纯缩放 Scale=1314.5756 | 全局 MSE=212384.5825 | 耗时=2249.5s
[Worker] 尝试 k=10.474495 | 纯缩放 Scale=411.1363 | 全局 MSE=1581.3735 | 耗时=2250.1s
[Worker] 尝试 k=9.060267 | 纯缩放 Scale=325.3582 | 全局 MSE=130.8851 | 耗时=2250.8s
[Worker] 尝试 k=6.522504 | 纯缩放 Scale=1332.6463 | 全局 MSE=224123.8348 | 耗时=2250.9s
[Worker] 尝试 k=6.320319 | 纯缩放 Scale=1735.2479 | 全局 MSE=452339.6944 | 耗时=2251.0s
[Worker] 尝试 k=9.800187 | 纯缩放 Scale=2695.0244 | 全局 MSE=1311439.0529 | 耗时=2252.3s
[Worker] 尝试 k=12.772826 | 纯缩放 Scale=562.0669 | 全局 MSE=14194.4915 | 耗时=2253.0s
[Worker] 尝试 k=14.119987 | 纯缩放 Scale=1707.1856 | 全局 MSE=448062.5755 | 耗时=2253.7s
[Worker] 尝试 k=14.185109 | 纯缩放 Scale=855.3431 | 全局 MSE=62342.2861 | 耗时=2254.1s
[Worker] 尝试 k=8.445727 | 纯缩放 Scale=564.7358 | 全局 MSE=13235.1165 | 耗时=2254.3s
[Worker] 尝试 k=13.212403 | 纯缩放 Scale=394.1889 | 全局 MSE=1101.8442 | 耗时=2254.9s
[Worker] 尝试 k=14.050260 | 纯缩放 Scale=217.3877 | 全局 MSE=3274.1024 | 耗时=2255.9s
[Worker] 尝试 k=11.505369 | 纯缩放 Scale=886.3041 | 全局 MSE=66991.8478 | 耗时=2256.3s
[Worker] 尝试 k=10.214021 | 纯缩放 Scale=225.5739 | 全局 MSE=1952.7884 | 耗时=2257.4s
[Worker] 尝试 k=7.239593 | 纯缩放 Scale=1371.4037 | 全局 MSE=218058.9165 | 耗时=2259.2s
[Worker] 尝试 k=13.566799 | 纯缩放 Scale=449.5319 | 全局 MSE=3904.7981 | 耗时=2259.6s
[Worker] 尝试 k=10.745803 | 纯缩放 Scale=233.8512 | 全局 MSE=1868.8341 | 耗时=2260.3s
[Worker] 尝试 k=10.656333 | 纯缩放 Scale=327.3519 | 全局 MSE=126.2088 | 耗时=2261.0s
[Worker] 尝试 k=13.279759 | 纯缩放 Scale=1141.3333 | 全局 MSE=162281.2011 | 耗时=2261.6s
[Worker] 尝试 k=9.488745 | 纯缩放 Scale=525.2858 | 全局 MSE=9222.7996 | 耗时=2262.1s
[Worker] 尝试 k=6.703237 | 纯缩放 Scale=483.2823 | 全局 MSE=5181.1914 | 耗时=2264.2s
[Worker] 尝试 k=10.823294 | 纯缩放 Scale=292.0355 | 全局 MSE=111.5615 | 耗时=2264.7s
