nohup: ignoring input
=====================================================================================
🚀 算力怪兽重归正道：256核并行 | 强制 b=0 纯比例拟合 (寻找物理圣杯)
=====================================================================================
[*] 正在加载 100 阶黎曼零点真值...
[*] 锁定 100 亿步混沌演化 | 物理限制: b ≡ 0 (无漂移)
[Worker] k=7.571206 | MSE=59.8409 | Scale=319.3505 | 耗时=2340.2s
[Worker] k=7.757072 | MSE=123.6128 | Scale=325.5054 | 耗时=2340.4s
[Worker] k=4.298545 | MSE=167.9419 | Scale=318.6644 | 耗时=2341.4s
[Worker] k=6.963579 | MSE=43.3879 | Scale=318.9675 | 耗时=2341.5s
[Worker] k=13.121302 | MSE=23.5738 | Scale=324.4621 | 耗时=2341.6s
[Worker] k=2.625179 | MSE=87.5951 | Scale=320.4455 | 耗时=2341.7s
[Worker] k=12.919889 | MSE=95.2900 | Scale=324.6969 | 耗时=2342.0s
[Worker] k=3.889137 | MSE=50.7836 | Scale=315.2683 | 耗时=2342.2s
[Worker] k=4.078144 | MSE=56.5591 | Scale=325.6268 | 耗时=2342.2s
[Worker] k=10.263851 | MSE=72.2699 | Scale=322.7686 | 耗时=2342.3s
[Worker] k=5.303887 | MSE=42.5653 | Scale=321.4486 | 耗时=2342.5s
[Worker] k=8.128088 | MSE=59.6326 | Scale=321.2605 | 耗时=2342.7s
[Worker] k=7.521485 | MSE=75.1841 | Scale=325.9129 | 耗时=2344.2s
[Worker] k=7.147764 | MSE=49.8780 | Scale=303.5893 | 耗时=2345.0s
[Worker] k=3.664515 | MSE=55.5569 | Scale=325.7340 | 耗时=2345.1s
[Worker] k=11.860522 | MSE=65.9841 | Scale=308.9977 | 耗时=2345.7s
[Worker] k=2.565454 | MSE=119.6996 | Scale=324.6212 | 耗时=2345.9s
[Worker] k=13.628918 | MSE=103.3810 | Scale=326.5172 | 耗时=2346.2s
[Worker] k=5.841215 | MSE=63.4517 | Scale=324.3465 | 耗时=2347.0s
[Worker] k=9.864502 | MSE=44.3354 | Scale=317.9994 | 耗时=2347.4s[Worker] k=14.319787 | MSE=64.9786 | Scale=316.5564 | 耗时=2347.4s

[Worker] k=4.366724 | MSE=89.6188 | Scale=329.8091 | 耗时=2348.1s
[Worker] k=11.162507 | MSE=91.2349 | Scale=325.3347 | 耗时=2348.2s
[Worker] k=3.536072 | MSE=92.9236 | Scale=332.8446 | 耗时=2348.2s
[Worker] k=9.091057 | MSE=30.0072 | Scale=326.5882 | 耗时=2348.5s
[Worker] k=13.890222 | MSE=35.5674 | Scale=325.6062 | 耗时=2348.7s
[Worker] k=7.693743 | MSE=37.2141 | Scale=314.7776 | 耗时=2348.8s
[Worker] k=4.510073 | MSE=137.4875 | Scale=332.1406 | 耗时=2348.9s
[Worker] k=6.575885 | MSE=40.2329 | Scale=315.3508 | 耗时=2349.5s
[Worker] k=6.357611 | MSE=85.7815 | Scale=332.8712 | 耗时=2349.5s
[Worker] k=9.306187 | MSE=44.1143 | Scale=327.9746 | 耗时=2351.0s
[Worker] k=5.388766 | MSE=79.9916 | Scale=318.6205 | 耗时=2351.0s
[Worker] k=8.943048 | MSE=74.8144 | Scale=315.0400 | 耗时=2351.4s
[Worker] k=4.576679 | MSE=76.5252 | Scale=334.2618 | 耗时=2351.4s
[Worker] k=13.768985 | MSE=45.6238 | Scale=328.3146 | 耗时=2352.1s
[Worker] k=10.516240 | MSE=97.6626 | Scale=332.9491 | 耗时=2353.1s
[Worker] k=10.087151 | MSE=40.1255 | Scale=323.0385 | 耗时=2355.2s
[Worker] k=10.597783 | MSE=40.5879 | Scale=326.5479 | 耗时=2355.3s
[Worker] k=12.114601 | MSE=162.6697 | Scale=331.4552 | 耗时=2356.7s
[Worker] k=8.000097 | MSE=107.7435 | Scale=326.1633 | 耗时=2356.9s
[Worker] k=7.019260 | MSE=44.5633 | Scale=309.0479 | 耗时=2357.0s
[Worker] k=12.588497 | MSE=47.5712 | Scale=328.2665 | 耗时=2357.2s
[Worker] k=11.723987 | MSE=42.6834 | Scale=315.4222 | 耗时=2357.3s
[Worker] k=11.134898 | MSE=91.1327 | Scale=340.0498 | 耗时=2358.1s
[Worker] k=5.806993 | MSE=165.1596 | Scale=329.1902 | 耗时=2358.2s
[Worker] k=3.795266 | MSE=59.2108 | Scale=314.9769 | 耗时=2358.5s
[Worker] k=13.599502 | MSE=48.6342 | Scale=336.5307 | 耗时=2358.9s
[Worker] k=4.254024 | MSE=73.0569 | Scale=330.0070 | 耗时=2358.8s
[Worker] k=5.753842 | MSE=71.9065 | Scale=323.6940 | 耗时=2359.1s
[Worker] k=11.698861 | MSE=60.9819 | Scale=311.7619 | 耗时=2359.5s
[Worker] k=9.383394 | MSE=89.5449 | Scale=343.1718 | 耗时=2359.6s
[Worker] k=4.800736 | MSE=113.5951 | Scale=332.3587 | 耗时=2359.6s
[Worker] k=13.339201 | MSE=99.9772 | Scale=325.6842 | 耗时=2359.8s
[Worker] k=4.594948 | MSE=97.5471 | Scale=322.6866 | 耗时=2360.8s
[Worker] k=9.347256 | MSE=87.0749 | Scale=337.8214 | 耗时=2361.4s
[Worker] k=10.532034 | MSE=95.7203 | Scale=331.5241 | 耗时=2361.4s
[Worker] k=11.967609 | MSE=121.3035 | Scale=335.7870 | 耗时=2361.5s
[Worker] k=14.642196 | MSE=75.2249 | Scale=319.6019 | 耗时=2361.5s
[Worker] k=12.683784 | MSE=41.3885 | Scale=330.5336 | 耗时=2361.5s
[Worker] k=5.783885 | MSE=33.3768 | Scale=323.6283 | 耗时=2085.3s
[Worker] k=12.108989 | MSE=67.2515 | Scale=326.7390 | 耗时=2090.9s
